feature,importance
price_final_usd,0.2854353579009826
supported_language_count,0.28134232358367933
supports_achievements,0.1405841371908468
category_count,0.11822177038088573
supports_controller,0.04362211492468434
discount_percent,0.04114227971791089
genre_count,0.026751445109819832
platform_mac,0.025721569171199037
is_free,0.011103863074000622
has_multiplayer,0.00879851965440194
platform_linux,0.008507815120951952
required_age,0.005432624172093691
has_singleplayer,0.0033350825353179432
platform_windows,1.0974632252519908e-06
