model,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.7542272322752892,0.0743321718931475,0.6701570680628273,0.1338212232096184,0.7892096726370059
random_forest,0.8272026105013349,0.10277324632952692,0.6596858638743456,0.17784050811573748,0.820709199906333
