criteria,criteria_value,game_count,success_count,success_rate,smoothed_success_rate,rank_eligible,sample_status
category,Steam Trading Cards,507,129,0.25443786982248523,0.2503225753313233,True,충분
category,HDR available,157,26,0.16560509554140126,0.15818426015745002,True,충분
category,Steam Workshop,426,51,0.11971830985915492,0.11792837487682147,True,충분
category,Steam Timeline,47,6,0.1276595744680851,0.1125749376542834,True,충분
category,Adjustable Text Size,501,54,0.10778443113772455,0.10649074647024297,True,충분
category,Captions available,138,14,0.10144927536231885,0.09741061788036591,True,충분
category,Subtitle Options,532,46,0.08646616541353383,0.08563979971640988,True,충분
category,Remote Play on TV,247,19,0.07692307692307693,0.07555163986884884,True,충분
category,Color Alternatives,1046,76,0.07265774378585087,0.07236436689989977,True,충분
category,VR Supported,84,6,0.07142857142857142,0.0682635260244059,True,충분
category,Steam Cloud,7306,490,0.0670681631535724,0.06703345700468756,True,충분
category,Camera Comfort,1966,127,0.06459816887080366,0.06448217178456182,True,충분
category,Surround Sound,831,52,0.06257521058965103,0.06232671991235928,True,충분
category,Online Co-op,1723,102,0.0591990713871155,0.05909796390438208,True,충분
category,Adjustable Difficulty,1862,109,0.05853920515574651,0.0584491300460973,True,충분
category,Full controller support,5713,327,0.0572378785226676,0.05721068870282966,True,충분
category,Cross-Platform Multiplayer,500,28,0.056,0.05571915969861599,True,충분
category,Remote Play on Tablet,52,3,0.057692307692307696,0.055109216875712165,True,충분
category,In-App Purchases,576,30,0.052083333333333336,0.05190575332132108,True,충분
category,Co-op,2357,116,0.04921510394569368,0.0491832578987301,True,충분
category,Stereo Sound,3269,156,0.04772101560110126,0.047702583545682874,True,충분
category,Save Anytime,2901,135,0.04653567735263702,0.04651898709937965,True,충분
category,Narrated Game Menus,153,7,0.0457516339869281,0.045501665314688064,True,충분
category,Steam Achievements,11890,541,0.045500420521446594,0.045497207684562536,True,충분
category,Custom Volume Controls,5451,233,0.04274445055953036,0.042742496144716015,True,충분
category,Remote Play on Phone,47,2,0.0425531914893617,0.04239949905779218,True,충분
category,Includes level editor,405,17,0.04197530864197531,0.04196812396697386,True,충분
category,LAN Co-op,245,10,0.04081632653061224,0.04085008410311433,True,충분
category,Shared/Split Screen Co-op,716,29,0.040502793296089384,0.04051896893428947,True,충분
category,Multi-player,3861,141,0.03651903651903652,0.036532361520613316,True,충분
category,Playable without Timed Input,5472,198,0.03618421052631579,0.036194230471779304,True,충분
category,Mouse Only Option,2411,81,0.03359601824968893,0.03362939754080717,True,충분
category,Stats,1178,39,0.03310696095076401,0.03317910054401865,True,충분
category,Partial Controller Support,1985,64,0.03224181360201511,0.03228910849438303,True,충분
category,LAN PvP,199,6,0.03015075376884422,0.030702255723895476,True,충분
category,Online PvP,1641,50,0.030469226081657527,0.03053711171792499,True,충분
category,Keyboard Only Option,1904,58,0.03046218487394958,0.030520779230038743,True,충분
category,Family Sharing,19092,576,0.03016970458830924,0.030175728795220094,True,충분
category,Remote Play Together,1138,33,0.02899824253075571,0.029108685928827663,True,충분
category,Shared/Split Screen,1222,35,0.028641571194762683,0.02874737942069331,True,충분
category,Touch Only Option,632,18,0.028481012658227847,0.028686559885193384,True,충분
category,Single-player,21508,615,0.028594011530593266,0.02860009161847264,True,충분
category,Steam Leaderboards,1527,41,0.026850032743942372,0.026946500615676095,True,충분
category,PvP,2253,53,0.023524189968930315,0.02360440629531337,True,충분
category,Tracked Controller Support,229,4,0.017467248908296942,0.018480215256460895,True,충분
category,Shared/Split Screen PvP,746,13,0.01742627345844504,0.017747052177637772,True,충분
category,MMO,209,2,0.009569377990430622,0.01103548605613769,True,충분
category,VR Only,375,1,0.0026666666666666666,0.0036799258345302705,True,충분
category,Chat Speech-to-text,13,1,0.07692307692307693,0.06159875853452844,False,표본 부족
category,Chat Text-to-speech,14,1,0.07142857142857142,0.05903214359558975,False,표본 부족
category,Commentary available,25,1,0.04,0.040479184179832976,False,표본 부족
category,SteamVR Collectibles,1,0,0.0,0.03788831329946856,False,표본 부족
category,Valve Anti-Cheat enabled,1,0,0.0,0.03788831329946856,False,표본 부족
category,Includes Source SDK,3,0,0.0,0.03205934202262724,False,표본 부족
category,VR Support,3,0,0.0,0.03205934202262724,False,표본 부족
category,Steam Turn Notifications,8,0,0.0,0.02315396923856412,False,표본 부족
